,자치구,스포츠_동호회_수,장애인_커뮤니티,내부시설수,외부시설수,소계_설치의무대상,소계_설치완료,매개시설_설치의무대상,매개시설_설치완료,내부시설_설치의무대상,내부시설_설치완료,위생시설_설치의무대상,위생시설_설치완료,안내시설_설치의무대상,안내시설_설치완료,기타시설_설치의무대상,기타시설_설치완료,지하철_엘리베이터_수,구별_역수,장애인_합계,지체_인구,뇌병변_인구,시각_인구,청각_인구,언어_인구,지적장애_인구,정신장애_인구,자폐성_인구,신장장애_인구,심장장애_인구,호흡기_인구,간_인구,안면_인구,장루/요루_인구,뇌전증_인구,전동보장구_급속충전소,지하철_휠체어리프트_수
0,강남구,2.0,1.0,20.0,1.0,11798,11678,3285,3273,5210,5190,3040,2973,189,180,62,62,53,22,15200,6077,1754,1562,1963,131,1028,834,573,827,47,103,141,19,85,56,24,5.0
1,강동구,5.0,1.0,28.0,1.0,5210,5180,1521,1521,2683,2683,842,834,125,125,22,6,47,15,18307,7957,2001,1930,2451,200,1387,638,426,852,49,94,120,20,124,58,22,4.0
2,강북구,7.0,1.0,10.0,3.0,1742,1715,618,618,892,878,200,188,8,8,24,23,8,4,17441,7690,1745,1940,2664,145,1225,740,163,728,35,101,85,6,125,49,21,0.0
3,강서구,15.0,5.0,19.0,7.0,5177,5172,1659,1659,2762,2760,672,670,83,83,0,0,27,10,28727,12255,2942,2822,4416,238,2011,1598,372,1354,62,169,152,35,181,120,37,3.0
4,관악구,1.0,2.0,16.0,6.0,2378,2336,672,669,1176,1165,457,431,73,71,0,0,11,5,20265,8909,1989,2234,3055,173,1348,863,253,982,42,91,109,14,146,57,34,0.0
5,광진구,2.0,0.0,5.0,1.0,3611,3603,1165,1165,1970,1970,419,411,31,31,14,14,37,12,12353,5593,1221,1316,1702,92,812,513,174,600,37,65,69,8,109,42,37,7.0
6,구로구,1.0,4.0,3.0,1.0,3142,3094,1023,1019,1663,1661,423,381,33,33,0,0,23,8,18280,8235,1752,1889,2828,147,1249,648,288,772,54,105,104,26,131,52,15,17.0
7,금천구,2.0,0.0,0.0,1.0,3206,3203,1127,1127,1610,1610,387,385,10,10,72,71,4,2,11390,5164,1080,1171,1798,89,768,431,123,475,37,58,51,16,85,44,19,4.0
8,노원구,15.0,1.0,10.0,0.0,1537,1526,478,478,722,714,285,283,51,51,0,0,52,14,27312,11819,2911,2775,3588,248,2296,1496,386,1105,93,151,111,32,187,114,60,7.0
9,동작구,4.0,2.0,8.0,4.0,1510,1508,530,530,745,743,209,209,23,23,3,3,41,13,14607,6303,1510,1543,2403,141,901,526,231,663,38,67,109,11,114,47,2,10.0
10,마포구,5.0,1.0,13.0,0.0,3676,3635,1225,1208,2178,2175,228,225,4,2,39,25,69,17,12951,5587,1382,1481,1879,119,850,505,197,618,31,53,86,11,120,32,0,10.0
11,서초구,2.0,5.0,9.0,7.0,7763,7716,2232,2231,3814,3810,1614,1575,71,68,27,27,45,13,10542,4288,1202,1180,1479,86,742,358,302,569,35,59,130,2,84,26,22,13.0
12,성동구,3.0,1.0,4.0,0.0,2148,2057,608,595,954,941,532,478,53,43,0,0,44,15,11412,5212,1178,1171,1625,106,700,423,180,475,35,86,79,12,88,42,17,4.0
13,성북구,8.0,3.0,17.0,3.0,2727,2708,817,815,1458,1456,393,381,40,37,19,19,25,10,17490,7851,1801,1935,2545,160,1087,647,220,787,36,90,141,17,120,53,18,3.0
14,송파구,16.0,0.0,9.0,3.0,4633,4606,1484,1484,2216,2209,819,801,82,82,30,30,105,29,20286,8642,2219,2069,2716,174,1545,631,655,1060,60,113,189,14,139,60,27,9.0
15,양천구,3.0,4.0,7.0,2.0,2309,2301,751,747,1180,1180,299,298,79,76,0,0,14,6,17558,7827,1799,1722,2803,158,1167,615,287,718,52,92,131,13,125,49,17,1.0
16,영등포구,7.0,7.0,3.0,1.0,4077,4061,1130,1125,2094,2092,768,759,85,85,0,0,49,12,14539,6513,1443,1551,2333,134,849,457,209,696,35,63,87,20,115,34,36,5.0
17,용산구,2.0,1.0,4.0,0.0,2827,2817,951,947,1332,1332,488,486,32,32,16,16,47,11,7960,3441,784,967,1160,71,536,292,121,355,22,47,70,6,65,23,18,6.0
18,은평구,4.0,0.0,10.0,2.0,3114,3094,1236,1234,1612,1610,204,191,54,54,8,5,38,14,21773,9010,2236,2358,3235,173,1786,1162,333,882,55,130,154,24,167,68,21,9.0
19,종로구,3.0,4.0,16.0,3.0,2422,2413,714,714,1008,1004,593,588,75,75,32,32,69,16,6015,2586,582,729,927,45,394,258,102,256,9,30,48,7,31,11,12,8.0
20,중구,1.0,3.0,0.0,1.0,3318,3265,807,784,1525,1519,818,802,75,72,88,85,105,24,5700,2572,565,723,842,34,296,218,76,224,14,31,39,5,40,21,15,18.0
21,중랑구,4.0,1.0,3.0,5.0,3954,3911,1382,1368,2012,2007,514,490,46,46,0,0,23,9,20394,9642,2119,2052,2541,176,1305,857,237,925,52,131,100,16,166,75,33,2.0
22,동대문구,0.0,1.0,8.0,2.0,2542,2533,696,689,1266,1266,560,558,20,20,0,0,25,7,15701,7264,1631,1551,2366,140,897,638,159,660,36,83,100,19,110,47,17,25.0
23,서대문구,0.0,1.0,21.0,1.0,2070,2068,562,562,1024,1024,386,384,74,74,24,24,16,6,12551,5451,1387,1318,1847,115,788,530,169,616,36,47,98,8,113,28,38,0.0
24,도봉구,0.0,0.0,0.0,0.0,2502,2477,771,757,1219,1213,329,324,168,168,13,13,14,4,15436,6718,1672,1635,2264,119,1117,647,179,696,38,66,94,17,131,43,26,4.0
