자치구,매개시설_설치완료,내부시설_설치완료,위생시설_설치완료,안내시설_설치완료,기타시설_설치완료,지하철_엘리베이터_수,전동보장구_급속충전소,지하철_휠체어리프트_수
강남구,0.219463298318382,-0.12247238909515101,0.14623187750406172,-0.09042514899317437,0.6005969973194053,0.11729853804151791,0.20493350995195497,-0.325187807199189
강동구,0.7049836117868357,0.7612019943576599,0.5876070949702007,0.3744759780404289,-3.905685884371682,-0.20412127289782342,-0.4850295448276481,-0.5374758930259678
강북구,0.7049836117868357,-2.8517581810374235,-1.1900620553335053,0.3744759780404289,0.34242454055585364,-0.7598435486680216,-0.5048594431630755,-0.8708931438030783
강서구,0.7049836117868357,0.5945132348432106,0.8173013320981531,0.3744759780404289,0.0,-0.6270496871034001,-0.33688747423626547,-0.7085307775586799
관악구,0.11163010369760386,-1.3920028915131122,-1.0806810487448109,0.1069986172813698,0.0,-0.737644700520825,0.12748722984432787,-0.8708931438030783
광진구,0.7049836117868357,0.7612019943576599,0.24995145266526322,0.3744759780404289,0.6005969973194053,-0.12319552905004483,1.7579731470883022,-0.04079268559485923
구로구,0.1852917806549167,0.48435632161026976,-2.5731838456697482,0.3744759780404289,0.0,-0.559700442032246,-1.0345550163565442,0.49829380505451
금천구,0.7049836117868357,0.7612019943576599,0.7401462764241827,0.3744759780404289,0.514539511731555,-0.7901872767373826,0.04765526581197482,-0.35714390591898293
노원구,0.7049836117868357,-1.7894592454147236,0.6750368133756579,0.3744759780404289,0.0,-0.37621908959601175,0.8615758807509329,-0.4780721045646851
동작구,0.7049836117868357,0.14322299599671123,0.9220697761185941,0.3744759780404289,0.6005969973194053,-0.13582242020699578,-1.9107645976339993,0.18138397202806078
마포구,-1.1394981505019903,0.4441259931325214,0.45888297097558883,-4.5069858558124,-1.623658014797349,0.5316764320474102,-2.0956018925893587,0.316238171944849
서초구,0.6454355894696415,0.5197786310755815,0.07145906332809554,-0.03804192341192337,0.6005969973194053,0.3197654650497505,0.8930464682175284,1.1398935771411314
성동구,-2.136867400640555,-2.3756568102156512,-2.65108557784172,-1.4675850913379969,0.0,0.08539798596220648,-0.19561139069356895,-0.36187528800233615
성북구,0.3796196318309264,0.44543083264373634,-0.1528064739842563,-0.357743297037495,0.6005969973194053,-0.5150101699122305,-0.7600694469222244,-0.6174539897685475
송파구,0.7049836117868357,0.034044847143659226,0.14839511258302607,0.3744759780404289,0.6005969973194053,0.5088222451433368,-0.27566462732680286,-0.1801673401725179
양천구,-0.0029321581838130423,0.7612019943576599,0.8043366751457905,0.003732041292112978,0.0,-0.6743837225689447,-0.8303980474531817,-0.7861543848777727
영등포구,0.11688101969839051,0.541338406115572,0.5095440277881063,0.3744759780404289,0.0,-0.019506259675789166,1.1241939713543452,-0.36171897974015255
용산구,0.1459460268783706,0.7612019943576599,0.7777984761560209,0.3744759780404289,0.6005969973194053,0.6811257788997767,0.951554524421008,0.28560252508683803
은평구,0.4899169680781118,0.4755975565295589,-1.3212074958485027,0.3744759780404289,-1.7229551135525616,-0.3970207575618894,-0.7379093913587129,-0.20837900451614114
종로구,0.7049836117868357,-0.1522788663147873,0.6252552972748493,0.3744759780404289,0.6005969973194053,2.168321939936985,0.607482724820456,1.1809251581562938
중구,-3.0830675327927666,-0.144491816354969,0.2335182418228825,-0.016040968667797754,0.3893649872401358,3.7832807592072246,1.301645784617961,3.7708272255400805
중랑구,-0.6414393993331596,0.189141415606522,-0.7216125829880946,0.3744759780404289,0.0,-0.6062416800319134,-0.1019298062265814,-0.7333178967364185
동대문구,-0.631766820230293,0.7612019943576599,0.7963476432940649,0.3744759780404289,0.0,-0.4856252828687525,-0.732337782473602,1.4117688403253872
서대문구,0.7049836117868357,0.7612019943576599,0.7396749720208303,0.3744759780404289,0.6005969973194053,-0.5434522942978044,1.9652236315289633,-0.8708931438030783
도봉구,-1.7084490748121817,-0.3718439952540966,0.3870819768652775,0.3744759780404289,0.6005969973194053,-0.6406650105581312,0.15884632285380762,-0.4759837861916659
